recipe_id,name,author,description,category,cuisine_type,keywords,ingredients,cooking_time,prep_time,total_time,servings,calories,rating,review_count,difficulty_level,mood,occasion,instructions,image_urls
FOOD_00024,Moroccan Dinner,Chef Maria,A hearty moroccan dinner perfect for family_dinner. This hearty dish is nutritious and great for family_dinner.,Dinner,Moroccan,"hearty,family_dinner,moroccan,dinner","eggs, vegetables, lentils, rice, beef, fish, beans, spinach, bread, cheese, pasta, tomatoes, onions",140,35,175,8,402,3.5,3781,Easy,hearty,family_dinner,1. Prepare ingredients. 2. Cook according to Moroccan tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_24.jpg
FOOD_00025,Mediterranean Breakfast,Chef Maria,A celebratory mediterranean breakfast perfect for party. This celebratory dish is nutritious and great for party.,Breakfast,Mediterranean,"celebratory,party,mediterranean,breakfast","mushrooms, garlic, spices, fish, onions",173,118,291,1,559,3.6,1745,Medium,celebratory,party,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_25.jpg
FOOD_00026,Moroccan Dinner,Chef David,A refreshing moroccan dinner perfect for movie_night. This refreshing dish is nutritious and great for movie_night.,Dinner,Moroccan,"refreshing,movie_night,moroccan,dinner","fish, spinach, herbs, potatoes, beef, carrots, garlic, pasta, cheese",87,82,169,5,484,4.2,4623,Hard,refreshing,movie_night,1. Prepare ingredients. 2. Cook according to Moroccan tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_26.jpg
FOOD_00027,Lebanese Dinner,Chef Sarah,A satisfying lebanese dinner perfect for workout. This satisfying dish is delicious and great for workout.,Dinner,Lebanese,"satisfying,workout,lebanese,dinner","onions, tomatoes, carrots, vegetables, herbs, beans, fish, beef, rice, spinach",176,32,208,11,371,4.6,4563,Medium,satisfying,workout,1. Prepare ingredients. 2. Cook according to Lebanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_27.jpg
FOOD_00028,Chinese Snack,Chef David,A healthy chinese snack perfect for movie_night. This healthy dish is satisfying and great for movie_night.,Snack,Chinese,"healthy,movie_night,chinese,snack","garlic, spinach, eggs, lentils, spices, cheese",28,85,113,1,371,3.4,3582,Medium,healthy,movie_night,1. Prepare ingredients. 2. Cook according to Chinese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_28.jpg
FOOD_00029,Lebanese Appetizer,Chef Maria,A satisfying lebanese appetizer perfect for picnic. This satisfying dish is flavorful and great for picnic.,Appetizer,Lebanese,"satisfying,picnic,lebanese,appetizer","beans, bread, pasta, herbs, chicken, garlic, spinach, mushrooms, tomatoes",54,61,115,12,733,4.7,3980,Hard,satisfying,picnic,1. Prepare ingredients. 2. Cook according to Lebanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_29.jpg
FOOD_00030,French Vanilla Mousse,Chef Maria,A celebratory french dessert perfect for winter_day. This celebratory dish is delicious and great for winter_day.,Dessert,French,"celebratory,winter_day,french,dessert","bread, spices, vegetables, onions, mushrooms, fish, spinach, lentils, rice, garlic, tomatoes, eggs, pasta, potatoes",81,32,113,10,523,3.3,4351,Medium,celebratory,winter_day,1. Prepare ingredients. 2. Cook according to French tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_30.jpg
FOOD_00031,French Beverage,Chef Lisa,A comforting french beverage perfect for date_night. This comforting dish is flavorful and great for date_night.,Beverage,French,"comforting,date_night,french,beverage","garlic, rice, pasta, potatoes, cheese, vegetables, mushrooms, carrots, fish, onions",81,73,154,1,514,4.4,4160,Medium,comforting,date_night,1. Prepare ingredients. 2. Cook according to French tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_31.jpg
FOOD_00032,Chinese Beverage,Chef John,A warming chinese beverage perfect for party. This warming dish is nutritious and great for party.,Beverage,Chinese,"warming,party,chinese,beverage","rice, garlic, fish",48,13,61,4,702,3.9,1041,Hard,warming,party,1. Prepare ingredients. 2. Cook according to Chinese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_32.jpg
FOOD_00033,Japanese Salad,Chef David,A comforting japanese salad perfect for winter_day. This comforting dish is satisfying and great for winter_day.,Salad,Japanese,"comforting,winter_day,japanese,salad","potatoes, vegetables, mushrooms, bread, pasta, spices",70,89,159,3,245,4.4,3933,Easy,comforting,winter_day,1. Prepare ingredients. 2. Cook according to Japanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_33.jpg
FOOD_00034,Chinese Appetizer,Chef Sarah,A indulgent chinese appetizer perfect for hangover. This indulgent dish is delicious and great for hangover.,Appetizer,Chinese,"indulgent,hangover,chinese,appetizer","beans, lentils, onions, bread, pasta, garlic, spinach, vegetables, mushrooms, beef, potatoes, fish, herbs, rice, carrots",81,20,101,7,535,3.9,4975,Medium,indulgent,hangover,1. Prepare ingredients. 2. Cook according to Chinese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_34.jpg
FOOD_00035,Mexican Vegetable Stew,Chef Lisa,A indulgent mexican main course perfect for hangover. This indulgent dish is nutritious and great for hangover.,Main Course,Mexican,"indulgent,hangover,mexican,main course","beans, cheese, eggs, spices, mushrooms, garlic, beef, pasta, spinach, herbs",163,84,247,2,588,4.9,1479,Easy,indulgent,hangover,1. Prepare ingredients. 2. Cook according to Mexican tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_35.jpg
FOOD_00036,Thai Beef Stew,Chef Maria,A healthy thai main course perfect for party. This healthy dish is flavorful and great for party.,Main Course,Thai,"healthy,party,thai,main course","pasta, beef, carrots, eggs",45,74,119,10,403,3.3,2589,Medium,healthy,party,1. Prepare ingredients. 2. Cook according to Thai tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_36.jpg
FOOD_00037,Japanese Citrus Tart,Chef Sarah,A light japanese dessert perfect for hangover. This light dish is nutritious and great for hangover.,Dessert,Japanese,"light,hangover,japanese,dessert","rice, eggs, lentils, tomatoes, fish, beef, garlic, herbs, potatoes, beans",76,120,196,4,485,3.0,1155,Medium,light,hangover,1. Prepare ingredients. 2. Cook according to Japanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_37.jpg
FOOD_00038,Italian Vegetable Soup,Chef Sarah,A satisfying italian soup perfect for sunny_day. This satisfying dish is nutritious and great for sunny_day.,Soup,Italian,"satisfying,sunny_day,italian,soup","lentils, chicken, tomatoes, beans, vegetables, herbs, cheese",107,39,146,12,614,3.4,2949,Medium,satisfying,sunny_day,1. Prepare ingredients. 2. Cook according to Italian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_38.jpg
FOOD_00039,Japanese Beef Stir-fry,Chef Michael,A warming japanese main course perfect for hangover. This warming dish is delicious and great for hangover.,Main Course,Japanese,"warming,hangover,japanese,main course","tomatoes, rice, chicken, spinach, carrots, mushrooms, spices, lentils, cheese, potatoes, fish, pasta, eggs, garlic",161,44,205,6,252,3.6,3611,Hard,warming,hangover,1. Prepare ingredients. 2. Cook according to Japanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_39.jpg
FOOD_00040,Greek Beef Stew,Chef Lisa,A light greek main course perfect for summer_day. This light dish is flavorful and great for summer_day.,Main Course,Greek,"light,summer_day,greek,main course","beans, carrots, potatoes, garlic, mushrooms, herbs, eggs, beef, spices, cheese, rice, chicken",157,89,246,9,688,3.1,1080,Easy,light,summer_day,1. Prepare ingredients. 2. Cook according to Greek tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_40.jpg
FOOD_00041,Korean Beef Curry,Chef Michael,A healthy korean main course perfect for hangover. This healthy dish is delicious and great for hangover.,Main Course,Korean,"healthy,hangover,korean,main course","garlic, rice, fish, carrots, spinach, mushrooms, herbs, lentils, tomatoes",42,91,133,1,291,3.9,594,Easy,healthy,hangover,1. Prepare ingredients. 2. Cook according to Korean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_41.jpg
FOOD_00042,American Chicken Grill,Chef John,A satisfying american main course perfect for winter_day. This satisfying dish is delicious and great for winter_day.,Main Course,American,"satisfying,winter_day,american,main course","bread, beef, spices, cheese, herbs, chicken, spinach, onions, beans, carrots, eggs, garlic, lentils",127,113,240,9,643,3.2,1972,Easy,satisfying,winter_day,1. Prepare ingredients. 2. Cook according to American tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_42.jpg
FOOD_00043,Peruvian Vegetable Grill,Chef Maria,A satisfying peruvian main course perfect for movie_night. This satisfying dish is nutritious and great for movie_night.,Main Course,Peruvian,"satisfying,movie_night,peruvian,main course","eggs, carrots, beef, onions, potatoes, herbs",103,34,137,5,398,4.0,3950,Medium,satisfying,movie_night,1. Prepare ingredients. 2. Cook according to Peruvian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_43.jpg
FOOD_00044,Thai Tomato Soup,Chef Michael,A light thai soup perfect for summer_day. This light dish is satisfying and great for summer_day.,Soup,Thai,"light,summer_day,thai,soup","beef, beans, cheese, carrots, vegetables, mushrooms, lentils",18,72,90,9,740,3.3,10,Easy,light,summer_day,1. Prepare ingredients. 2. Cook according to Thai tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_44.jpg
FOOD_00045,American Dinner,Chef David,A relaxing american dinner perfect for summer_day. This relaxing dish is nutritious and great for summer_day.,Dinner,American,"relaxing,summer_day,american,dinner","lentils, rice, eggs, bread, spices, vegetables, onions, carrots",17,99,116,1,559,4.2,1263,Medium,relaxing,summer_day,1. Prepare ingredients. 2. Cook according to American tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_45.jpg
FOOD_00046,Greek Salad,Chef David,A comforting greek salad perfect for movie_night. This comforting dish is delicious and great for movie_night.,Salad,Greek,"comforting,movie_night,greek,salad","mushrooms, chicken, potatoes",126,90,216,8,288,4.5,841,Easy,comforting,movie_night,1. Prepare ingredients. 2. Cook according to Greek tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_46.jpg
FOOD_00047,Spanish Dinner,Chef Lisa,A celebratory spanish dinner perfect for party. This celebratory dish is flavorful and great for party.,Dinner,Spanish,"celebratory,party,spanish,dinner","garlic, lentils, cheese, bread, mushrooms, spinach, fish, vegetables",49,96,145,11,467,3.4,1223,Medium,celebratory,party,1. Prepare ingredients. 2. Cook according to Spanish tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_47.jpg
FOOD_00048,Lebanese Beverage,Chef John,A energizing lebanese beverage perfect for picnic. This energizing dish is satisfying and great for picnic.,Beverage,Lebanese,"energizing,picnic,lebanese,beverage","pasta, bread, chicken, cheese, fish, eggs, beef, garlic",19,75,94,3,405,4.7,2223,Hard,energizing,picnic,1. Prepare ingredients. 2. Cook according to Lebanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_48.jpg
FOOD_00049,Peruvian Vanilla Pudding,Chef David,A relaxing peruvian dessert perfect for party. This relaxing dish is delicious and great for party.,Dessert,Peruvian,"relaxing,party,peruvian,dessert","spinach, mushrooms, potatoes, eggs, vegetables, spices, cheese, fish, lentils, chicken, garlic, bread, herbs, tomatoes, beans",32,68,100,8,283,4.6,2862,Medium,relaxing,party,1. Prepare ingredients. 2. Cook according to Peruvian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_49.jpg
FOOD_00050,Mediterranean Chocolate Tart,Chef Maria,A relaxing mediterranean dessert perfect for date_night. This relaxing dish is delicious and great for date_night.,Dessert,Mediterranean,"relaxing,date_night,mediterranean,dessert","beans, spinach, bread, vegetables, lentils, tomatoes, beef, potatoes, spices, mushrooms, chicken, herbs, carrots, fish",24,117,141,12,559,4.3,4234,Medium,relaxing,date_night,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_50.jpg
FOOD_00051,American Sauce,Chef Sarah,A cooling american sauce perfect for picnic. This cooling dish is flavorful and great for picnic.,Sauce,American,"cooling,picnic,american,sauce","cheese, carrots, onions, potatoes",93,35,128,7,109,3.7,292,Easy,cooling,picnic,1. Prepare ingredients. 2. Cook according to American tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_51.jpg
FOOD_00052,Vietnamese Dinner,Chef Maria,A refreshing vietnamese dinner perfect for rainy_day. This refreshing dish is flavorful and great for rainy_day.,Dinner,Vietnamese,"refreshing,rainy_day,vietnamese,dinner","vegetables, bread, pasta, fish, rice, potatoes, tomatoes, beef, carrots, garlic",103,86,189,7,239,4.2,646,Hard,refreshing,rainy_day,1. Prepare ingredients. 2. Cook according to Vietnamese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_52.jpg
FOOD_00053,Greek Breakfast,Chef David,A comforting greek breakfast perfect for workout. This comforting dish is nutritious and great for workout.,Breakfast,Greek,"comforting,workout,greek,breakfast","vegetables, lentils, potatoes, beans, garlic",73,108,181,5,109,3.8,4707,Easy,comforting,workout,1. Prepare ingredients. 2. Cook according to Greek tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_53.jpg
FOOD_00054,Korean Vanilla Tart,Chef David,A light korean dessert perfect for party. This light dish is nutritious and great for party.,Dessert,Korean,"light,party,korean,dessert","beans, beef, pasta, chicken, carrots, rice, mushrooms, cheese, vegetables, tomatoes, fish, spinach, herbs, potatoes",162,95,257,5,513,4.6,461,Hard,light,party,1. Prepare ingredients. 2. Cook according to Korean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_54.jpg
FOOD_00055,Brazilian Appetizer,Chef John,A celebratory brazilian appetizer perfect for study_session. This celebratory dish is flavorful and great for study_session.,Appetizer,Brazilian,"celebratory,study_session,brazilian,appetizer","potatoes, bread, lentils, garlic",116,10,126,4,274,4.5,4944,Easy,celebratory,study_session,1. Prepare ingredients. 2. Cook according to Brazilian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_55.jpg
FOOD_00056,Vietnamese Chicken Stir-fry,Chef Sarah,A cooling vietnamese main course perfect for summer_day. This cooling dish is delicious and great for summer_day.,Main Course,Vietnamese,"cooling,summer_day,vietnamese,main course","rice, potatoes, tomatoes, mushrooms, herbs, chicken, carrots, beans, beef, vegetables, onions, lentils, garlic, pasta, eggs",167,36,203,2,727,4.5,860,Medium,cooling,summer_day,1. Prepare ingredients. 2. Cook according to Vietnamese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_56.jpg
FOOD_00057,Chinese Snack,Chef Lisa,A indulgent chinese snack perfect for movie_night. This indulgent dish is satisfying and great for movie_night.,Snack,Chinese,"indulgent,movie_night,chinese,snack","eggs, bread, rice, potatoes, cheese, spices, carrots",179,47,226,8,244,3.7,600,Easy,indulgent,movie_night,1. Prepare ingredients. 2. Cook according to Chinese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_57.jpg
FOOD_00058,American Breakfast,Chef Maria,A comforting american breakfast perfect for workout. This comforting dish is flavorful and great for workout.,Breakfast,American,"comforting,workout,american,breakfast","eggs, carrots, cheese, rice, mushrooms, beef, tomatoes, beans, potatoes, garlic, onions, spices",145,112,257,8,109,3.7,991,Easy,comforting,workout,1. Prepare ingredients. 2. Cook according to American tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_58.jpg
FOOD_00059,Turkish Lunch,Chef John,A cooling turkish lunch perfect for summer_day. This cooling dish is delicious and great for summer_day.,Lunch,Turkish,"cooling,summer_day,turkish,lunch","pasta, onions, beans",142,81,223,4,476,3.9,39,Easy,cooling,summer_day,1. Prepare ingredients. 2. Cook according to Turkish tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_59.jpg
FOOD_00060,Turkish Snack,Chef Michael,A refreshing turkish snack perfect for movie_night. This refreshing dish is flavorful and great for movie_night.,Snack,Turkish,"refreshing,movie_night,turkish,snack","spices, potatoes, fish, pasta, herbs, tomatoes, vegetables",15,119,134,5,599,3.7,3946,Medium,refreshing,movie_night,1. Prepare ingredients. 2. Cook according to Turkish tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_60.jpg
FOOD_00061,Peruvian Chicken Stir-fry,Chef John,A energizing peruvian main course perfect for date_night. This energizing dish is flavorful and great for date_night.,Main Course,Peruvian,"energizing,date_night,peruvian,main course","pasta, beef, herbs, vegetables, rice, garlic",178,99,277,7,351,3.8,2049,Easy,energizing,date_night,1. Prepare ingredients. 2. Cook according to Peruvian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_61.jpg
FOOD_00062,Mediterranean Salad,Chef Michael,A satisfying mediterranean salad perfect for workout. This satisfying dish is nutritious and great for workout.,Salad,Mediterranean,"satisfying,workout,mediterranean,salad","mushrooms, beef, potatoes",155,30,185,9,270,3.5,2775,Hard,satisfying,workout,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_62.jpg
FOOD_00063,American Beverage,Chef Lisa,A light american beverage perfect for picnic. This light dish is delicious and great for picnic.,Beverage,American,"light,picnic,american,beverage","lentils, pasta, rice, eggs, fish, beans, onions, spinach, chicken",171,48,219,4,561,4.1,1828,Medium,light,picnic,1. Prepare ingredients. 2. Cook according to American tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_63.jpg
FOOD_00064,Mediterranean Salad,Chef Michael,A satisfying mediterranean salad perfect for sunny_day. This satisfying dish is flavorful and great for sunny_day.,Salad,Mediterranean,"satisfying,sunny_day,mediterranean,salad","spinach, mushrooms, eggs, beans",156,110,266,3,604,4.6,2809,Medium,satisfying,sunny_day,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_64.jpg
